k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,3,350,100,60000,0.12,1340.73,1221,5.01732,1267.72,0.000289687,60000,153.379,839,40,0.909962,33.2787,19.1463,898.146
2000,3,350,100,60000,0.1,1340.73,1221,5.01732,1267.72,0.000289687,60000,153.379,839,40,0.909962,32.9676,18.9673,897.967
2000,3,350,100,70000,0.15,1340.73,1221,5.01732,1463.04,0.00202781,70000,154.239,839,39,0.929255,38.4554,22.1247,900.125
2000,3,350,100,70000,0.12,1340.73,1221,5.01732,1463.04,0.000289687,70000,154.239,839,39,0.929255,38.4374,22.1143,900.114
2000,3,350,100,70000,0.1,1340.73,1221,5.01732,1463.04,0.000289687,70000,154.239,839,40,0.929255,38.934,22.4,901.4
2000,3,350,100,80000,0.15,1340.73,1221,5.01732,1654.9,0.00434531,80000,154.775,839,39,0.941691,43.9951,25.3118,903.312
2000,3,350,100,80000,0.12,1340.73,1221,5.01732,1654.9,0.00144844,80000,154.775,839,39,0.941691,44.1214,25.3845,903.385
2000,3,350,100,80000,0.1,1340.73,1221,5.01732,1654.9,0.000579374,80000,154.775,839,41,0.941691,43.9537,25.288,905.288
2000,3,300,150,60000,0.15,1340.73,1221,5.01732,979.347,0.00115875,60000,154.47,839,40,0.896318,32.7294,18.8303,897.83
2000,3,300,150,60000,0.12,1340.73,1221,5.01732,979.348,0.000289687,60000,154.47,839,40,0.896318,32.6926,18.8092,897.809
2000,3,300,150,60000,0.1,1340.73,1221,5.01732,979.348,0.000289687,60000,154.47,839,40,0.896318,32.6399,18.7788,897.779
2000,3,300,150,70000,0.15,1340.73,1221,5.01732,1129.57,0.00115875,70000,155.648,839,40,0.920622,37.7575,21.7232,900.723
2000,3,300,150,70000,0.12,1340.73,1221,5.01732,1129.57,0.000289687,70000,155.648,839,40,0.920622,37.7381,21.712,900.712
2000,3,300,150,70000,0.1,1340.73,1221,5.01732,1129.57,0.000289687,70000,155.648,839,40,0.920622,37.7155,21.699,900.699
2000,3,300,150,80000,0.15,1340.73,1221,5.01732,1276.88,0.0023175,80000,156.353,839,40,0.935945,43.759,25.176,904.176
2000,3,300,150,80000,0.12,1340.73,1221,5.01732,1276.88,0.000869061,80000,156.353,839,40,0.935945,42.8543,24.6555,903.655
2000,3,300,150,80000,0.1,1340.73,1221,5.01732,1276.88,0.000579374,80000,156.353,839,40,0.935945,43.1816,24.8438,903.844
2000,3,300,120,60000,0.15,1340.73,1221,5.01732,1108.73,0.00115875,60000,154.17,839,40,0.90943,32.9722,18.97,897.97
2000,3,300,120,60000,0.12,1340.73,1221,5.01732,1108.73,0.000289687,60000,154.17,839,40,0.90943,32.9531,18.959,897.959
2000,3,300,120,60000,0.1,1340.73,1221,5.01732,1108.73,0.000289687,60000,154.17,839,39,0.90943,32.9626,18.9645,896.965
2000,3,300,120,70000,0.15,1340.73,1221,5.01732,1278.05,0.00115875,70000,155.043,839,40,0.928511,38.4986,22.1495,901.149
2000,3,300,120,70000,0.12,1340.73,1221,5.01732,1278.05,0.000289687,70000,155.043,839,40,0.928511,38.1025,21.9217,900.922
2000,3,300,120,70000,0.1,1340.73,1221,5.01732,1278.05,0.000289687,70000,155.043,839,40,0.928511,38.0849,21.9115,900.912
2000,3,300,120,80000,0.15,1340.73,1221,5.01732,1445.66,0.00318656,80000,155.581,839,40,0.940928,43.5435,25.052,904.052
2000,3,300,120,80000,0.12,1340.73,1221,5.01732,1445.66,0.00115875,80000,155.581,839,40,0.940928,43.2225,24.8673,903.867
2000,3,300,120,80000,0.1,1340.73,1221,5.01732,1445.66,0.000579374,80000,155.581,839,40,0.940928,43.5881,25.0777,904.078
2000,3,300,100,60000,0.15,1340.73,1221,5.01732,1231.48,0.00115875,60000,153.518,839,40,0.915205,33.1333,19.0627,898.063
